,ID,Rad,U_Rad,KIC,Period,U_Period,DetectProb
2014,2353.01,2.4945548899417687,0.4764763586254193,12505654,5.186737262,7.369e-06,0.005003400349262005
2015,2354.01,49.8612167985864,37.95531843942444,7215678,1.151244686,1.5219999999999998e-06,0.013694214621843571
2016,2355.01,1.46923807391176,0.0770881890938164,11670125,1.217000383,2.865e-06,0.012896584955761285
2017,2356.01,2.7137415762707,0.7493091381788307,11461844,13.6823798,0.0001059,0.002560343384013916
2018,2357.01,1.7941393230596592,0.1589074624186275,7449554,2.42088277,1.327e-05,0.008171637327974794
2019,2357.02,3.000196706402181,0.8326448201492314,7449554,15.9042402,0.0001123,0.0023388935024280886
2020,2358.01,3.4284890020427965,0.5953052915796588,5716932,56.4931698,0.0003626,0.0008982389950002905
2021,2361.01,1.934029887858053,0.0991308278358919,11566256,5.78387049,1.538e-05,0.004517577584350875
2022,2362.02,2.318691822816404,0.4119841885015808,8495415,11.08507658,5.149e-05,0.002926692570834914
2023,2363.01,1.06461463767684,0.0295678783473225,7987866,3.13877646,1.164e-05,0.005827549322151481
2024,2364.01,5.1880011577038845,0.8300875403046478,9532710,5.24242029,4.077e-05,0.005062453651018225
2025,2365.01,2.63692532310068,0.2794868751328113,11560897,35.9682692,0.0001496,0.0012410762190850156
2026,2365.02,1.6634131975268749,0.0938024530142893,11560897,110.978266,0.003333,0.0003485785173110243
2027,2366.01,1.4739520151297227,0.2166253488448511,11342416,25.3690868,0.0001467,0.0012829056411623385
2028,2367.01,1.3212064445000034,0.044623558102647,9086251,6.89213244,3.308e-05,0.00363970651055817
2029,2368.01,1.6879612418744798,0.1108429991036791,10863608,8.07127043,5.172e-05,0.0034818209468349412
2030,2369.01,3.0743957493537097,0.2365036606102185,5602588,11.01819178,7.244e-05,0.003004200029389954
2031,2369.02,1.563952120650939,0.2660431433705172,5602588,6.3143447,0.0001132,0.00399867403465964
2032,2369.03,1.4857853374824177,0.1574385996662284,5602588,7.2274321,0.0001478,0.0036192018918928155
2033,2371.01,2.049958112467105,0.1204583157077763,11824786,12.94123564,7.239e-05,0.0025733296425019736
2034,2372.01,1.5567491944377048,0.1067477205090809,12254909,5.349791,2.509e-05,0.004532477607247699
2035,2373.01,2.828056110900852,0.1187606464906658,10798331,147.281212,0.001212,0.0004390722343541216
2036,2374.01,1.6911016483573054,0.2621115365291082,9364290,5.26211833,2.75e-05,0.004708954025227516
2037,2374.02,2.7201181288615857,0.1208856606363152,9364290,12.1628195,6.256e-05,0.002767440032533995
2038,2376.01,2.134976121111813,0.1196877096943982,11701407,18.8262877,0.0001114,0.0019961929758011325
2039,2378.01,1.1295544222332623,0.0812833412123877,10813132,4.76702759,2.46e-05,0.004282321259530376
2040,2380.01,1.6048078278119766,0.1279765604838205,3002478,6.35705314,1.752e-05,0.00404665484233657
2041,2383.01,1.4230585061420868,0.0941114976069926,9395024,4.37033233,2.022e-05,0.005173725381642215
2042,2384.01,26.422494835746917,5.284498967149384,12254688,62.6825769,0.0002839,0.0008752738220950936
2043,2387.01,1.8721497192498864,0.1183000266455678,12254378,2.032319072,5.327000000000001e-06,0.009245259161292749
2044,2389.01,1.6883194557535206,0.3394133164188545,8494617,22.9221181,0.000258,0.0015653225889131527
2045,2390.01,2.9577721534117964,0.1593778722327032,10289119,16.10474503,9.86e-05,0.0023342457888639416
2046,2393.01,1.2185325864429877,0.078443077658056,4665571,4.60300256,1.753e-05,0.004669311762474497
2047,2393.02,1.1287618493880751,0.0371110809515595,4665571,0.766691517,1.273e-06,0.01695349210743053
